Keyword,Search Volume,Difficulty,Estimated Traffic,Current Ranking,Expected Ranking,Category
SEO services,5000,75,3000,25,2,Existing Keywords (transactional terms only)
content marketing,8000,65,4500,30,3,Existing Keywords (transactional terms only)
digital marketing agency,4000,80,2500,15,1,Existing Keywords (transactional terms only)
local SEO,3000,55,1800,40,4,Must-Have Keywords (limit to 50)
keyword research,2500,60,1500,50,5,Must-Have Keywords (limit to 50)
link building,2000,70,1200,35,3,Must-Have Keywords (limit to 50)
on-page SEO,1800,50,1000,,2,New Keywords (limit to 100)
technical SEO,1500,65,900,,3,New Keywords (limit to 100)
SEO audit,1200,55,700,,4,New Keywords (limit to 100)
backlink analysis,1000,60,600,,5,New Keywords (limit to 100)
competitor analysis,900,50,500,,6,New Keywords (limit to 100)
SEO strategy,800,45,450,,3,New Keywords (limit to 100)
organic traffic,750,55,400,,4,New Keywords (limit to 100)
search ranking,700,60,380,,5,New Keywords (limit to 100)
SERP analysis,650,50,350,,6,New Keywords (limit to 100)